image_name|comment_number|comment
3597146852.jpg| 0| The boy in black is skateboarding in the air in front of the flowers and a white and blue sign .
4517839542.jpg| 3| A baseball player is running down the third base line while his teammate slides into home .
4776015443.jpg| 1| People sitting outside near a red brick road with yellow cement dividers .
2986620935.jpg| 4| Two dirt bike riders in midair .
2430269210.jpg| 0| A group of people ( most or all girls ) sits Indian style in a line in an extremely dark area .
2147107496.jpg| 3| Two men posing for a picture while drinking beer .
3465311847.jpg| 3| A man on top of the roof looks over the ledge .
517259709.jpg| 1| A man in a shirt covered with leaves is taking a hamburger off the grill .
1082478946.jpg| 4| Men in safety vests are working on a track .
4688301633.jpg| 1| Two surgeons in blue scrubs operate on a patient .
2201122447.jpg| 4| three people are taking pictures
4435343922.jpg| 2| Young female athletes hug one another while the audience sits in the background .
4812765398.jpg| 3| A stocky lady in a yellow shirt holding up a sign in Spanish .
4545183125.jpg| 4| two woman in dresses smile at a camera while walking .
1857479783.jpg| 2| Two airline passengers : a young man wearing black and a young woman in green .
3373294573.jpg| 1| A child in a yellow dress and pink sandals walks away from a large body of water .
2460159430.jpg| 2| A tan dog is bounding through grass .
4670356028.jpg| 3| A man in a New York shirt waits to cross the street .
6904240901.jpg| 0| A kid is running down a walkway on a winter day wearing a red jacket and striped beanie .
4389770417.jpg| 1| Four boy scouts are on a stage in front of their green tents .
6960814190.jpg| 2| The cowboy holds on to the bull who is desperately trying to throw him off .
4691655601.jpg| 4| Four people playing instruments on a public place .
1303213306.jpg| 2| Two people are eating barbecue ribs at night .
4721142101.jpg| 0| A young lady sitting near a body of water , reading a book and relaxing with her shoes off .
3269380710.jpg| 3| a man smokes a cigarette .
2610135586.jpg| 4| Two young girls , in sparing gear , fight .
2371201464.jpg| 2| Two young children are in a park , playing with a horse ride .
421762501.jpg| 0| A gray-haired man in a black trench coat stands with another gray-haired man with a long gray jacket talking .
7400312926.jpg| 0| A white male in a purple shirt and black life vest is wave boarding and splashing lots of water around him .
151198526.jpg| 2| Four men are rollerskating in a park , holding on to each others ' waists .
3204922011.jpg| 3| Surfer riding down a curling wave .
3296715418.jpg| 3| A white dog plays in the grass .
1395173766.jpg| 0| A large group of people look as if they are in a band , and they are practicing classical music with guitars , violins , and cellos .
2915183095.jpg| 2| Three teens watching a basketball in the air .
2942535642.jpg| 3| Three firefighters in the brush along a hillside .
4738240252.jpg| 3| Workers are taking a break during midday .
131840964.jpg| 0| A boy is standing on a sidewalk with his bike .
5307401202.jpg| 4| This woman is singing on stage at a concert .
118707970.jpg| 1| A man with a yellow hard hat is standing on a ladder that is leaned up against a building .
3447876218.jpg| 0| The man is snowboarding down a slope with gear and a hat
2576407111.jpg| 4| A man fills up an old bucket with sand .
7012109893.jpg| 2| A man wearing a blue suit is standing on a roof with a mop and bucket .
7765548908.jpg| 0| Black and white photo of a girl with short shorts running in the rain with a hoodie on .
4688197510.jpg| 0|" A man in a red shirt walks past a turquoise and white checkered food establishment called "" 32 De Neude . """
3549408493.jpg| 0| A man planting seeds in a garden in front of a set of beautiful mountains .
3376014640.jpg| 2| A man stands on a surfboard , paddling it out into the ocean .
365504466.jpg| 1| A young boy in a long-sleeved sweatshirt is standing in front of a red tractor , on the grass .
2802447198.jpg| 2| A male jockey riding a horse as it vaults over an obstacle .
3512791890.jpg| 2| A smiling woman holds a smiling toddler in a yellow dress .
375955411.jpg| 2| A man painting a building red with a paintbrush at the end of a stick .
3112821789.jpg| 0| a musician plays a strange pipe instrument whilst standing next to a drummer on a stage .
4100944178.jpg| 3| Man walking past a bus stop with graffiti .
39980756.jpg| 0| Atop a Harley a man cruises down a street with a woman in tow on the backseat .
708860480.jpg| 2| A boy is being splashed in a swimming pool .
3506454111.jpg| 2| A girl bowling in a dark bowling alley while a movie is projected at the end of the lanes .
3079341641.jpg| 2| There are two small girls smiling in a hallway
3414770234.jpg| 1| A snowboarder flips upside down with a snow covered hill in the background .
4862594943.jpg| 0| A young man in a blue jacket holds a fish while sitting on a rowboat on a river with a young boy wearing a red jacket .
4443087970.jpg| 1| A few people are walking on a street through a busy city on a nice day .
4592329357.jpg| 1| A crowd of people are raising their arms during a concert .
3672940355.jpg| 4| A girl kicks a ball
4157338292.jpg| 2| Two men are holding a net while standing on the beach .
3104909823.jpg| 0| Two men dressed jackets and hats are standing on a terrace
1716219111.jpg| 3| A person , whose face is blocked , is working on a large wooden loom .
4932831918.jpg| 3| A girl in a black shirt is sitting under some trees having a drink .
2174648405.jpg| 3| Two woman are in a warehouse wearing mask .
3158365397.jpg| 3| A casino with a lot of slot machines .
3817335146.jpg| 3| People fishing off a small dam .
3354414391.jpg| 2| Two furry tri-colored dogs playing in the grass .
1837976956.jpg| 2| A woman sings into a microphone with a guitar player in the background .
3126832359.jpg| 2| A nude man jumping on a well dressed man in a crowd .
3527320221.jpg| 2| Two cage fighters , both shirtless , fight against each other in a cage .
205635075.jpg| 2| The three chefs and two waitresses are hanging out on the balcony .
1355945307.jpg| 1| The red car has the number seven on the side in a white circle .
2655196158.jpg| 2| A dog is laying on a blue rug , chewing and making a mess .
6563243819.jpg| 3| A group of men and women wearing red coat and singing carols in a church for Christmas , 2011 .
437673289.jpg| 0| In this photo you see an individual repelling down a rock front , on a clear blue sky day .
3048071554.jpg| 3| A man with a yellow shirt is singing into a microphone .
4427059629.jpg| 3| A young cowboy is riding bucking bronco in an arena .
4728136795.jpg| 2| A man in shorts is using a barbecue grill in a yard .
4972635204.jpg| 2| A man wearing a sleeveless shirt riding a moped .
5311134561.jpg| 2| A fitness class with the attendees riding stationary bikes .
24710703.jpg| 4| Casually dressed men and child dance in a full cinema .
48296285.jpg| 0| Two men one in a red shirt and the other wearing a yellow shirt are in a lab .
2862704719.jpg| 3| Several people cooking at a grill in a kitchen .
416568642.jpg| 4| A girl in a blue shirt is sitting on a swing .
2419797375.jpg| 3| A girl sits in a car wearing sunglasses and a hat .
4763916790.jpg| 2| A duck is standing on the street and the little boy is running toward it .
2937882774.jpg| 2| A woman walking on the sidewalk while listening to headphones .
3637013.jpg| 3| Two people hold each other near a pond .
2807177340.jpg| 4| A boy playing on a playground
2755554894.jpg| 2| A crowd gathered in Covent Garden Market .
3628994466.jpg| 4| A winner gets a trophy .
425977726.jpg| 1| Someone dressed in a gray top looks on as the bowl rolls down the lane on lane eight at the colorful bowling alley .
153963868.jpg| 1| A man wearing an orange safety vest and a hard hat is operating construction equipment .
983396629.jpg| 3| An older woman is sitting at a table having a mean and reading a book .
248994078.jpg| 0| A doberman puppy is trying to put a very large blue rubber ball in this mouth
3178442303.jpg| 4| A happy toddler is carrying a notebook .
4725679036.jpg| 3| People are standing shopping in a store .
6999596517.jpg| 4| Two kids are standing next to a small pond .
3503987396.jpg| 3| The child is playing in the rock .
2980692063.jpg| 2| A man in a red shirt with a suitcase of sponges holding an item .
3417983246.jpg| 0| A bus is standing on the road while one man is driving a bicycle and second man is walking on the road .
2762599124.jpg| 2| A woman sitting with a guitar talking to a man sitting with an umbrella .
394161692.jpg| 4| A couple shopping for plants and flowers .
5181216751.jpg| 4| A girl is watering some flowers in a backyard .
2802477687.jpg| 0| This group of young teenagers watch as one girl skips stones across the surface of the river water .
114474325.jpg| 1| A guy with five girls out climbing on an old tree in a park area .
508958120.jpg| 2| two people are sitting on a rock looking at the horizon .
2612125121.jpg| 1| A man , wearing a specs , is painting the picture of a boy in front of him as a few interested people look at his paintings .
311619377.jpg| 0| A black-haired woman in a parka is looking at burning incense sticks .
2502856739.jpg| 4| Three dogs at the park .
26172759.jpg| 4| A person kayaking in strong currents .
49278853.jpg| 4| a little girl holding an infant .
116002648.jpg| 3| A young child in a jacket and a hat sleeping .
3417310067.jpg| 2| Six children in lacrosse uniforms and helmets run on a field .
2824227447.jpg| 3| A boy with a green shirt is burying himself in the sand
2277081067.jpg| 4| Two girls walking in the ocean .
680790383.jpg| 0| A man with glasses in a black shirt holding a paper plate of food at a party while looking up at the camera .
4722201236.jpg| 4| A man taking water from a fountain .
2565847129.jpg| 4| Two children in yellow raincoats playing .
4858940251.jpg| 1| Man in reflective jacket walking in front of glass wall and red railing .
3187801624.jpg| 4| Three people in a dimly lit room .
289625522.jpg| 1| A soccer player wearing a green shirt is jogging on the field .
4567208443.jpg| 3| A woman looking intently through a microscope .
1945370692.jpg| 2| People taking a walk on a path in a shopping center .
2286270205.jpg| 4| A tan dog is walking along snow to water .
3539552261.jpg| 2| A large group of people are in the middle of a field .
2924259848.jpg| 3| A person rides a dirt bike .
6836166265.jpg| 4| Forensic scientist looks through a microscope as others look on .
2924689361.jpg| 1| A lady in a blue shirt is watching her three kids playing on the playground .
4469625273.jpg| 0| A young woman wearing a red and white scarf is using an easel to paint outdoors .
5633231430.jpg| 2| A man is pulling a cart loaded with goods across an intersection .
2617215392.jpg| 2| A man offers his phone across the table .
4870323823.jpg| 1| An Asian man in all black hanging up a huge dead pig by its feet .
4335011105.jpg| 3| A mother happily pulling her baby in the snow with a sled .
5971653128.jpg| 1| A photographer in a green shirt and jeans , stoops to photograph a swimmer in red that is exiting the pool .
6021205363.jpg| 0| A group of women , dressed in safety gear , are on rollerskates and skating in front of a large group of people .
468911753.jpg| 0| A dog running through the grass with a stick in his mouth .
4914053837.jpg| 3| Women riding bikes on a city street .
3707077198.jpg| 2| A skateboarder jumping on a graffiti-covered ramp .
979383193.jpg| 4| Six children at a table .
4819038555.jpg| 3| A group of people marching in a parade waving flags .
86800579.jpg| 0| A brown-haired man is sitting in front of a sewing machine looking down .
2335619125.jpg| 1| A big black dog bares its teeth while running through the snow .
4735200580.jpg| 4| A boy in white shorts is jumping into a lake or river .
3355827928.jpg| 2| A man on a bike in midair
3189055735.jpg| 0| two men , one wearing a black baseball cap and sweater , holding a booklet , while the second guy , in a tan leather jacket , counts out money at a burger king restaurant .
3291979978.jpg| 2| Three friends are laughing on a skiing trip .
2758942112.jpg| 3| A man carrying a broom and dustpan is watching while a young boy is shining a woman 's shoe .
3321956909.jpg| 1| A little girl smiles in her snowsuit while playing in the snow .
4700788144.jpg| 2| A person is riding their motorcycle and are shown as the motorcycle jumps into the air .
4480560554.jpg| 4| Cars are driving under a bridge in a city .
4427803613.jpg| 1| A person dressed in winter attire is holding a red umbrella and walking in rainy weather .
4865769760.jpg| 3| Two kids in a field with their arms out pretending to be airplanes .
381976882.jpg| 2| Four dogs on leashes walk down a sidewalk .
33728078.jpg| 0| A frightened boy is carrying a hammer , ready to defend himself .
5225750041.jpg| 4| Young couple gets married in a park surrounded by trees .
5266194002.jpg| 4| Two women cook while a man looks on in disapproval .
747242766.jpg| 3| A spaniel runs through the grass .
766061382.jpg| 2| A wet , smiling child without a shirt poses with arms raised .
2230206919.jpg| 3| A young boy sitting at a pink table .
26067618.jpg| 3| Two workers are building a skyscraper .
169490297.jpg| 1| The boy in the blue and yellow top is standing with arms outstretched .
3449891876.jpg| 4| A young kid breaking a rock with hammer
2247192427.jpg| 0| Several children are playing a basketball game on a basketball court .
2210068481.jpg| 0| People of all ages in hats are paying attention to a person in a blue shirt .
2494518978.jpg| 3| A woman wearing a black shirt is eating .
2640000969.jpg| 4| Brown dog jumping into the pool
81641.jpg| 2| The man is flipping over the bar .
2308491551.jpg| 1| Three glass elevators with people inside of them .
242064301.jpg| 3| A man with a messenger bag in front of a gray tile wall .
4506480563.jpg| 4| Some joggers resting on a bench .
3495490064.jpg| 1| A man making a foul face while handling a fish beside a lake .
4520823262.jpg| 4| People walking up and down stairs .
3441701164.jpg| 2| The person in the blue jacket has a colorful helmet on .
2231193384.jpg| 0| A Jewish man and a group of Jewish children , fill their plates from a buffet set out in a park .
2335071959.jpg| 1| Several men are walking and standing in John A. Noble facility .
2374319960.jpg| 1| A blond woman in an apron with cherries on it is spinning a pot on a potter 's wheel .
3650986674.jpg| 0| The black dog and the brown dog are on the ground .
3377040300.jpg| 2| Two men and two women in jackets walk down a large city street .
4954417902.jpg| 1| A man sites on a motorbike , holding on to a street pole , in a crosswalk at night .
4830293194.jpg| 0| A couple sits in an antique automobile in a populated building .
4889930205.jpg| 2| Several people riding motorcycles are driving down the road .
3122497129.jpg| 1| Two dogs play with a red leash on the snow .
4107795952.jpg| 0| A snowboarder in a red jacket flies through the air , above a hill of snow , and next to a red and white sign .
4175969090.jpg| 4| People waiting for a train .
4967237527.jpg| 1| Two men in camouflage pants stand in front of a blue piece of equipment discussing how to tie a rope .
2212794589.jpg| 1| Amid the mountains a young man , wearing a white top , dark pants and a dark blue scarf , stands atop a rock .
4754577090.jpg| 3| A woman wearing a bonnet looks at a wine bottle .
2198494923.jpg| 3| A girl in motion on snow-covered ground .
3358380484.jpg| 4| A dog and a ball .
3015898903.jpg| 4| A man and 2 women in dark clothing .
2888658480.jpg| 2| Two boys jump from rocks into a green mountain pool .
4198839235.jpg| 2| A girl takes a break from her crafts to tend to her medical needs with an inhaler .
4902416291.jpg| 3| An older woman in sunglasses leaning on a railing enjoying the view .
4615629011.jpg| 0| A statue with slight chipping on the face and delicate features .
4893369019.jpg| 1| A large group of people are sitting on a lawn watching something .
6928261287.jpg| 4| A yellow team and a red team playing basketball .
6789373753.jpg| 0| Two construction workers in orange vests and helmets surrounded by yellow warning tape are working on mixing paint or concrete .
92246314.jpg| 1| You have a photo of people ice skating in front of a brown building with the name Adobe at the top .
2797774642.jpg| 2| Young boys in yellow and red uniforms are playing soccer .
2136634882.jpg| 4| A man is sitting on a white chair in front of a blue building .
2649406158.jpg| 4| Dog with muzzle and sweater marked 5 runs on dirt track .
2460467896.jpg| 0| At a construction site , three men in helmets are at work on foot , while a third is visible inside a construction vehicle .
4397972067.jpg| 0| 2 men , both in jeans and a black top , are playing ping-pong .
4557557135.jpg| 2| A man is on the street selling yellow diamond shaped signs .
2575647360.jpg| 3| Several people are sitting inside a dark art gallery .
3269218907.jpg| 4| A man and woman are birdwatching .
4295139148.jpg| 4| Several adults congregating at a conference .
3027365101.jpg| 2| A mountain biker jumps off of a fence while going downhill .
2607861348.jpg| 2| The men are removing the netting from the enclosed area .
86350713.jpg| 1| A lady attired in an apron stands over a kettle , preparing food , while patrons sit , chat , and dine in the background .
2984722428.jpg| 3| A man holds up a bag containing leaves from a harvest .
4830409466.jpg| 2| A guy wearing an orange vest sitting on a red motorcycle on the street .
2728813605.jpg| 2| An old woman in sunglasses and a jean jacket smiles for the camera .
3326086533.jpg| 2| The wet dog has retrieved the pink purse with aqua handles .
3746623148.jpg| 3| Several children are playing in a fountain .
2980690446.jpg| 2| A girl blows into a large yellow balloon .
505785112.jpg| 2| A woman with dark hair is hanging up clothes to dry .
3219475925.jpg| 1| An older man having his beard shaved by a younger man in front of a crowd of people in a lecture hall .
3512747808.jpg| 3| Two women are smiling while sitting at the table .
1285874746.jpg| 0| The back of a lady wearing a blue halter top is shown , a crowd in the distance .
2709536455.jpg| 3| Three barking , howling dogs
2344680432.jpg| 4| A young man playing the guitar
5336798287.jpg| 0| A woman in a blue collared shirt holds a large box with DELL written on it .
3958589423.jpg| 2| A man photographs a mountain meadow , with peaks in the background .
3690348036.jpg| 4| A person is in the air with a trick bike .
4665585666.jpg| 2| A heavyset man with two redhead babies in his lap .
512026551.jpg| 4| A brown dog fetching a ball out of the water .
6839530214.jpg| 3| A football player wearing a blue jersey getting his leg examined by a trainer .
5648828783.jpg| 4| Two people preparing meat over a grill with a blowtorch .
7990849887.jpg| 3| A live performance of two artists .
3214151585.jpg| 3| a man in a wetsuit is surfing
3490186050.jpg| 3| A boy plays ball on a grassy field .
2230067846.jpg| 3| Two boys in running clothes stretching .
3891886294.jpg| 0| A groom picks up his bride and kisses her underneath an enclosure at factory .
3343197133.jpg| 1| A person doing a bicycle jump , a skyline in the background .
3285180819.jpg| 1| Two men from opposite teams play basketball together .
6161755456.jpg| 4| The catcher is getting ready to catch a ball .
4160956997.jpg| 4| Men on a soccer field with balls .
3254640083.jpg| 3| a rock climber climbs a rock wall .
498444334.jpg| 1| Four boys posing while one boy sets his drink down .
3578318751.jpg| 0| A large audience of people seated at banquet tables is watching the happenings on a stage surrounded by blue curtains .
164622257.jpg| 0| A man in a black jacket and blue jeans carrying a camera walking up to the front of a cave that has the front of it blocked off by bars .
1289625678.jpg| 4| A young girl cleaning up .
4479231616.jpg| 2| A woman in a fur coat and a black hat and a gentleman in a brown coat are sitting at an outdoor table .
1764955991.jpg| 2| A tan and white dog retrieving a ball on a gravel path .
7431651498.jpg| 2| A curly-haired man in a suit plays the trumpet sideways .
2743709828.jpg| 4| Dogs racing around a curve in the track .
463551598.jpg| 0| A busy plaza with three young women with an umbrella and buckets full of possessions , possibly homeless .
387697067.jpg| 2| A man rowing in the front of a canoe in a large body of water .
3286262286.jpg| 4| a woman performs on the street
4735982439.jpg| 0| A large African American woman is wearing a green shirt sitting on a bench at the bus stop , while a small woman wearing a rust colored coat is sitting on the other side of the bench .
7835294722.jpg| 0| A female acrobat with long , blond curly hair , dangling upside down while suspending herself from long , red ribbons of fabric .
7081259615.jpg| 1| A rugby player wearing a white and red jersey is running the ball and is currently being tackled by an opposing player wearing a blue jersey .
2988439935.jpg| 1| A man in a red soccer uniform getting ready to kick the ball .
3863819063.jpg| 2| A fleet of small fishing boats coming to shore .
3639967449.jpg| 0| Two boys are sitting in front of a structure eating Popsicles .
224069602.jpg| 3| Two middle-aged men play guitar on a stage .
2752043092.jpg| 1| a baby with a wristwatch is curious about something
350670306.jpg| 0| A group of young children in wheelchairs pull each other through a small village as they are photographed .
4824923804.jpg| 2| Do these picketers really believe in what they are protesting ?
2542285730.jpg| 1| Worker in orange jumpsuit and headlamp standing by equipment .
3609027309.jpg| 3| A man in a dance studio holds the hand of a boy , teaching him to dance .
183118393.jpg| 3| Man cutting cake on a pink mat .
3179278412.jpg| 4| A little boy helps decorate a Christmas tree .
528645220.jpg| 1| Two little boys are racing each other while a little girl watches them .
2817132182.jpg| 4| Woman in a green shirt holding kittens .
4512324065.jpg| 1| An Elderly person against a wall on the streets looking down with a cup and photograph in hand .
4756483990.jpg| 1| Two women look at a large display of Asian figures and buildings .
4565706377.jpg| 2| A little girl is sweeping outdoors .
6108282669.jpg| 1| People outside in a parking lot looking at things on tables .
6904764378.jpg| 0| A man in a green shirt and a woman in a white tank top are standing by a yellow flag at the hole on a golf course , with other golfers in the background .
1945250762.jpg| 1| A young boy in a black shirt and blue jeans holding up a gray rag .
468141298.jpg| 0| People stand outside of a building that has cars parked in front .
2637936161.jpg| 4| A boy looks surly as his father looks at the camera .
3425061393.jpg| 1| Tennis champ Rafael Nadal lunges to return a ball .
2906802485.jpg| 4| Four kayakers on a moutain stream .
2444134813.jpg| 1| The dogs jump over an obstacle at an event .
310260324.jpg| 1| A group of men lift their arms to signal while they look to the left .
7017792809.jpg| 0| Two basketball players one in black and red and one in blue and white playing a game with the ref and crowd in the background .
2234681386.jpg| 4| A man on a bicycle rides past a big building .
220655860.jpg| 0| A man with brown hair is wearing gray pants and a black belt and is sitting at a table with four other people .
4334791701.jpg| 1| Two women in skirts are standing next to a structure made of stone .
455611732.jpg| 1| A person is hiking along rough terrain with fog and mountains in the background .
2555545571.jpg| 1| A performer with a huge afro is shaking hands with the crowd .
289637262.jpg| 1| A soccer game in a large area with 8 yellow players and 4 black players .
4644598327.jpg| 4| Two men with children on their shoulders .
7455508610.jpg| 1| three weirdly dressed men , playing in some form of musical fiasco .
140468532.jpg| 2| Several younger people walking down a street in heavy clothing .
3590654365.jpg| 4| Four men in a rodeo with a bull bucking
6319369709.jpg| 2| A white , male , professional biker riding on the countryside .
2537119659.jpg| 2| A little boy chases a little girl who is driving a red toy jeep .
3517124784.jpg| 3| A girl in a white and brown uniform swings at a softball .
2383471951.jpg| 3| woman chasing child dressed in orange shirt at a playground .
2587846523.jpg| 3| A man gets ready to throw a ball for a dog .
4848627833.jpg| 0| A tattoo artist concentrating as he works on creating a tattoo for a customer .
3596959859.jpg| 0| A group of people appear to be tilling the ground in front of a couple of thatch roof huts .
83191345.jpg| 0| Four men , seated inside a plain room on benches and dressed in military fatigues are conversing , one man wears a white YWCA t-shirt .
2941340576.jpg| 0| Two men stand beside a yellow and blue tow truck on the side of the street outside of a discount grocery store .
4717058364.jpg| 1| A bunch of people are with their bicycles wearing only their underwear .
2558512615.jpg| 4| A little baby plays with cellphone .
4097650560.jpg| 0| A young Indian dance troupe performing on stage during a local talent competition .
3039675864.jpg| 4| The birds are in the street .
2268601066.jpg| 1| A young man in a white shirt and gold and black hat sits cross legged .
93406137.jpg| 4| Two men with scrubbers wash a building .
4888378326.jpg| 4| Three men sitting on steps .
2269418002.jpg| 4| a young man standing outside of a fire stairway .
7140546967.jpg| 0| Several people on horses are all in a hurry to get somewhere .
4631310439.jpg| 0| A group of people , the majority of whom are male , are standing at the foot of a flight of stairs looking up .
4095018474.jpg| 1| An older man dressed in blue is sitting on the sidewalk surrounded by tools to polish shoes .
6261354929.jpg| 1| three young boys are playing soccer on a field that overlooks a city and a mountain scape .
2508313118.jpg| 4| A brown dog chases a Frisbee
1170586898.jpg| 3| Men build castle-like sculptures out of dark sand by the shore .
4729751945.jpg| 3| The man is pulling the food cart .
22926817.jpg| 4| Two females play doubles tennis on a orange court .
2832610852.jpg| 3| A man is about to give another a haircut in a barber .
2955752229.jpg| 3| Three people are cleaning up a beach .
137444523.jpg| 0| A man in a green shirt and backpack is standing under cover along with a woman behind him taking a picture .
3285298241.jpg| 0| A man wearing a blue basketball jersey is shooting the basketball .
4850359729.jpg| 0| Two young females one in strip shirt and one in white shirt , both with jackets in hand walking down street .
6364046387.jpg| 1| A young women sits in front of her computer and tries to study the fine print on a paper with the aid of a doctor 's spotlight attached to her head .
6060344876.jpg| 1| A person stands in a boat labeled Texas Mooring in front of a red wall .
4558172302.jpg| 1| Two people standing next to a road looking off a hill .
2393410666.jpg| 0| The black greyhound dog is running on the grass wearing a blue jacket .
2876994989.jpg| 2| NFL Fan with their face painted white , blue , and yellow .
2105756457.jpg| 4| Two young kids are in a hut .
3645809088.jpg| 2| A band made up of string instruments performing on an outdoor stage .
2803895304.jpg| 1| Three children in bathing suits stand next a sand castle with water and waves in the background .
5119124428.jpg| 2| Two men are wearing wetsuits and surfing a large wave .
6502488897.jpg| 4| Two male boxers fighting in a match .
2088910854.jpg| 4| Man wearing a black hat with a christmas theme .
3924998281.jpg| 3| A cute little toddler grips a volleyball ready to toss it .
4848644668.jpg| 0| A woman in a white shirt , black jacket and blue and black striped shirt stands next to a man in a checked shirt and blue jeans looking through a camera focused on whoever took this picture .
4299926208.jpg| 2| A man stands outside of a mobile Thai food truck .
1716445442.jpg| 2| A person picks up things in a rocky spot next to a car .
3769197538.jpg| 2| Children dressed in historic military uniforms in the rain .
4801146545.jpg| 3| A woman in red sips a drink as she looks at the people below her .
3232043672.jpg| 3| A man with a backpack is walking down a street while a man in an orange shirt pushes a cart the opposite direction .
3272847211.jpg| 1| A basketball player tries to aim for the goal while being blocked by other players .
2344323083.jpg| 2| A man is building a large sand castle on the beach .
2807437579.jpg| 4| A bride being kissed by a man .
3354264393.jpg| 0| The couple receives their meal from the male waiter while the girl sits alone .
3106481014.jpg| 3| A woman in a white shirt wears gloves as she prepares food under a canopy .
141126420.jpg| 4| A man in a black wetsuit is surfing on a wave .
2057282116.jpg| 3| A man with black hair stares to his right .
4968390309.jpg| 2| Two men on a dock talk to the passengers arriving in a red boat .
2450453051.jpg| 2| a black a white dog catching Frisbees thrown by a man in a white shirt
4553464209.jpg| 2| Small group of people putting on some kind of a performance .
4688342011.jpg| 3| A doctor and is staff is operating on a patient .
4204912347.jpg| 3| A male is walking down a snowy road .
3120648767.jpg| 4| A dirt biker in the desert .
977365989.jpg| 2| A white little girl hugging a black woman .
356841528.jpg| 3| Two men play drums with sticks while another man plays a horn .
2931392634.jpg| 0| A man in a white , red , yellow , and black shirt and white pants arches his back to narrowly avoid a charging black bull in a bull fighting ring with red-painted sides while a number of spectators look on .
3974475911.jpg| 1| Revelers participate in the Chinese New Year parade with fireworks .
4826608043.jpg| 4| People at work landscaping an area .
6191612418.jpg| 1| A female runner is in front of people dressed up as Spartans warriors and people wearing togas .
118854260.jpg| 3| A blond woman in a gray sweatshirt is cutting with scissors .
3654103642.jpg| 1| Two dogs one white and one brown are running together on a beach .
7697046306.jpg| 0| A man in white khakis , a white hat , a black t-shirt , and a gray vest and a young boy in a white t-shirt and dark colored shorts appear to be fishing or looking for precious gems in muddy water .
3769598031.jpg| 4| A young female tap dancer performing in the Town Parade .
2184817596.jpg| 3| A woman in a white shirt holding a cash drawer .
453807108.jpg| 4| a street performer in the middle of a crowd
4741608436.jpg| 1| two men and a woman playfully exercising , on an apartment floor .
2667078298.jpg| 4| A bridesmaid and groomsmen walk down the aisle .
2316097768.jpg| 2| A black man smoking a cigarette is in front of a government type building .
4771381994.jpg| 4| Tourists are taking photos of a man on a bicycle carrying an umbrella .
86120876.jpg| 4| Window cleaner attached to a harness .
3415230151.jpg| 2| A young boy is kicking a blue , red and white ball .
2508850304.jpg| 2| A group of people walking through a park with signs .
2867845624.jpg| 4| A black-and-white dog running in the water .
447691737.jpg| 3| There are two african ladies carrying bowls on their head on a crowded street .
2288530008.jpg| 3| A man looking into a train engine .
3873835329.jpg| 4| Firefighter cordon off area of city .
31326591.jpg| 0| A man in a blue shirt touches his head while talking to two women outdoors .
2391048897.jpg| 2| A group of young adults hiking a mountainside .
3011809448.jpg| 0| A young boy in a gray sweatshirt and brown hat is holding a small American flag above his head .
6781418332.jpg| 3| one guy skiing down a mountain wearing a red ski suit .
156222796.jpg| 2| A few baby 's in strollers wondering lots of things .
4789309483.jpg| 1| A man on a city street takes a picture while a taxi and bus drive by .
2775461796.jpg| 3| Crowds peddle their bikes across a city street .
1368108583.jpg| 2| A man and woman walk down the street together .
381275595.jpg| 3| Big brown dog chews on bone lying down .
2836864045.jpg| 4| A black and white dog returns a Frisbee .
450697885.jpg| 4| An audience at a soccer game .
4827541516.jpg| 3| A silhouette of a child and sprinkler
2941677396.jpg| 2| Guy with blue shirt and glasses , frantically with arms outstretched communicates .
6191212927.jpg| 3| A man running down a crowd lined street in a marathon .
931156700.jpg| 3| A group of people are preparing a hot air balloon for flight .
416650559.jpg| 4| a man dressed in a batman costume .
3379496689.jpg| 1| A group of people eating a meal at tables set up on a street .
4282691555.jpg| 0| A man in a puffy black coat stands near a tree trunk while a woman in a white scarf stands next to him with her head slightly bowed .
349393314.jpg| 0| A male in a green shirt and jeans is sitting on the floor while turned to look slightly up at a female with a blue shirt and jeans sitting in a green chair .
4941164644.jpg| 2| A child sits on a grassy hillside next to a steel structure .
16933558.jpg| 1| One boy is trying to kiss another in a school lunch room .
3486340101.jpg| 3| A blue Subaru rally car turning a corner with spectators .
2978271431.jpg| 1| Race cars driving through rain on a racetrack at night .
267325341.jpg| 3| On garden lawn , black dog is retriving an object .
4876043682.jpg| 0| A boy in a yellow t-shirt and pink sweater talks on a cellphone while riding a horse through a crowd of people who are looking on .
2832033116.jpg| 1| A person in a striped fleece clips a carabiner onto a metal line .
74437575.jpg| 2| A young man entertains folks in public by playing the cello .
4551325396.jpg| 1| A woman wearing a pink shirt and blue jeans taking pictures of fish at an aquarium .
3916317467.jpg| 2| Three men sitting on milk crates .
3503021545.jpg| 4| A group of people are standing on a sidewalk .
6666012297.jpg| 1| A man and a woman is walking with a dog across a beach
4907785038.jpg| 4| A girl is running on the grass .
4906053377.jpg| 1| A street scene with two women sitting in front of a shop window while a man is taking pictures .
5535626115.jpg| 0| A man wearing colonial clothes is stripping the sides of a log with an odd tool and a makeshift hammer .
2924312981.jpg| 1| A woman in a dark blue hat and a windbreaker jacket jogging with headphones in her ears .
6231758027.jpg| 0| Two men riding bikes are competing in a outdoor triathlon set up at a park , and one man is walking beside his bike while the other is riding and jumping over obstacles on the course .
